"fileName","variableName","description","unitText"
"mtcars","mpg","Miles per gallon","Numeric and positive"
"mtcars","cyl","Cylinders","Numeric, 2, 4, 6 only"
"mtcars","disp","Displacement","Numeric, cubic inches"
"mtcars","hp","Horsepower","Numeric, positive"
"mtcars","drat","Rear axle ratio","Numeric, positive"
"mtcars","wt","Weight","Numeric, in 1000lbs increments"
"mtcars","qsec","Timing","Numeric, 1/4th mile time"
"mtcars","vs","Engine","Categorical, 0 = V shaped, 1 = straight"
"mtcars","am","Transmission","Categorical, 0 = automatic, 1 = manual"
"mtcars","gear","Number of forward gears","Numeric, positive"
"mtcars","carb","Carburetors","Numeric, positive"
